DATASET	Abbreviation	Sites	SUBJECT	SCANS	MALES	FEMALES	MINAGE	MAXAGE	MEANAGE	STD	Median	Q25	Q75	CDR0_0	CDR0_5	CDR1_0	CDR2_0	CDR3_0	Race	Ethnicity	Pathology	LINK	Description	Population	Data	Design	Publication	Research_Article_1_Link	Research_Article_1_Title	Research_Article_1_Description	Research_Article_2_Link	Research_Article_2_Title	Research_Article_2_Description	Platform	Tip1	Tip2	anat	rs-fMRI	t-fMRI	dwi	eeg	pet	cognitive	behavioural	genetics	fluid_biomarkers	Others	Drawback
CAMCAN	Cambridge Centre for Ageing Neuroscience	1	2681	2681	1173	1508	18.5	102.2	60.6	20.9	63.4	41.7	79.7	0	0	0	0	0			HC	https://camcan-archive.mrc-cbu.cam.ac.uk/dataaccess/index.php	A lifespan dataset with multimodal imaging and cognitive assessments from adults aged 18–88.	earth	neuroimaging (MRI)	Cross-sectional	https://doi.org/10.1016/j.neuroimage.2015.09.018	https://doi.org/10.1038/s41593-023-01299-3	Functional brain networks reflect spatial and temporal autocorrelation	This study demonstrates that spatial (SA) and temporal autocorrelation (TA) in resting-state fMRI (rs-fMRI) data fundamentally explain the topology of functional brain networks, offering a reductionist framework to link complex network metrics to simpler neurobiological mechanisms	https://doi.org/10.1073/pnas.2214634120	Anatomically interpretable deep learning of brain age captures domain-specific cognitive impairment		NA	Apply for data access thorugh the website	Use Filezilla to get to know the file structure and downlod required files	1	1	1	1	0	0	1	1	0	0	MMSE, MEG, CArdiovascular measures, Benton, Cardiovascular measures, Cattell, Emotional expression recogn., Emotional memory, Emotion regulation, Famous faces, Force matching, Hotel task, Motor learning, Picture priming, Proverbs, RT choice, RT simple, Synsem, TOT, VSTM colour	Takes a couple of days to get the approval and stlughty hard to download the data; not comparible with linux machines or servers; even though there is a way
CC359	Calgary-Campinas-359	3	359	359	176	183	29	80	53.5	7.8	55	49	58.5	0	0	0	0	0			HC	https://www.ccdataset.com/download	A dataset comprising 359 T1-weighted MRI scans for evaluating brain segmentation algorithms.	earth	neuroimaging (MRI)	Cross-sectional	https://doi.org/10.1016/j.neuroimage.2017.08.021	https://openaccess.thecvf.com/content/CVPR2022/papers/Yiasemis_Recurrent_Variational_Network_A_Deep_Learning_Inverse_Problem_Solver_Applied_CVPR_2022_paper.pdf	Recurrent Variational Network: A Deep Learning Inverse Problem Solver applied to the task of Accelerated MRI Reconstruction	Conventional MRI acquisition is slow and prone to motion artifacts, limiting dynamic treatments. A novel deep learning method, RecurrentVarNet, reconstructs high-fidelity MRI images from highly accelerated, subsampled data by iteratively refining k-space using recurrent neural networks, achieving state-of-the-art results on brain data.	https://doi.org/10.1109/JPROC.2022.3141367	AI-Based Reconstruction for Fast MRI—A Systematic Review and Meta-Analysis	Deep learning and compressed sensing are increasingly combined to accelerate MRI acquisition, leading to significant advancements. This meta-analysis reviews these deep-learning-based CS techniques, their designs, breakthroughs, and future directions, while also providing a framework for their assessment in fast MRI.	CONP	the nifti images are in processed orginal.zip	You can treat 3 vendors are 3 different sites	1	0	0	0	0	0	0	0	0	0	1.5T, 3T	Too much raw data was given i really found it difficult to find the original nifit images
CCNP	Chinese Color Nest Project	1	195	195	93	102	6.5	17.9	11.9	3.1	11.4	9.3	14.4	0	0	0	0	0	Asian	not Hispanic or Latino	HC	https://www.scidb.cn/en/detail?dataSetId=c81f0e90a51b4cfca348ce4da6ca734e	A developmental neuroimaging dataset focusing on brain maturation in children and adolescents.	earth	neuroimaging (MRI)	Cross-sectional	https://doi.org/10.1016/j.dcn.2021.101020	https://doi.org/10.1038/s41593-022-01218-y	Confronting racially exclusionary practices in the acquisition and analyses of neuroimaging data	NA	https://doi.org/10.1038/s44220-023-00057-5	Precision behavioral phenotyping as a strategy for uncovering the biological correlates of psychopathology	NA	RBC			1	1	0	0	0	0	1	1	0	0		metadata is not easily available
CHBMP	Cuban Human Brain Mapping Project 	1	282	282	195	87	18	68	32	9.3	31	25	37	0	0	0	0	0		Cuban	HC	https://chbmp-open.loris.ca/	A population-based initiative focused on creating a normative brain dataset for the Cuban population. It includes high-resolution MRI, EEG, and neuropsychological assessments from healthy individuals, aiming to understand brain variability and support brain research and clinical neuroscience in Latin America.	earth	neuroimaging (MRI)	Cross-sectional	http://nature.com/articles/s41597-021-00829-7	https://doi.org/10.1016/j.neuroimage.2022.119521	A reusable benchmark of brain-age prediction from M/EEG resting-state signals	NA	https://doi.org/10.1016/j.neuroimage.2024.120636	Brain health in diverse settings: How age, demographics and cognition shape brain function	NA	CONIS			1	0	0	0	1	0	0	0	0	0	EEG	
CHCP	Chinese Human Connectome Project	1	366	366	167	199	18	79	34	18.1	24	21	53.8	0	0	0	0	0	Asian	Chinese	HC	https://doi.org/10.11922/sciencedb.01374	A large-scale neuroimaging project modeled after the U.S. HCP, designed to map the structural and functional connectivity of the Chinese brain.	earth	neuroimaging (MRI)	Cross-sectional	https://www.nature.com/articles/s41593-022-01215-1	https://doi.org/10.1016/j.scib.2024.03.006	The power of many brains: Catalyzing neuropsychiatric discovery through open neuroimaging data and large-scale collaboration	NA	https://doi.org/10.1002/hbm.70166	The Shape of the Brain's Connections Is Predictive of Cognitive Performance: An Explainable Machine Learning Study	NA	ScienceDB			1	1	1	1	0	0	1	0	0	0		
COBRE	The Center for Biomedical Research Excellence	1	148	148	109	37	18	65	37	12.8	35	26	48	0	0	0	0	0			Shiz	https://fcon_1000.projects.nitrc.org/indi/retro/cobre.html	A dataset including structural and resting-state fMRI data from individuals with schizophrenia and healthy controls.​	earth	neuroimaging (MRI)	Cross-sectional	https://doi.org/10.1002/hbm.22065	https://doi.org/10.1002/hbm.22065	Functional imaging of the hemodynamic sensory gating response in schizophrenia	NA	https://doi.org/10.1016/j.neuroimage.2013.06.038	Using joint ICA to link function and structure using MEG and DTI in schizophrenia	NA	indi	schizopheria data		1	1	0	0	0	0	0	0	0	0	MEG	DWI data is not shared
CORR	Consortium for Reliability and Reproducibility	34	1534	4285	764	768	6	88	25.7	13.9	22	19	27	0	0	0	0	0			HC	https://fcon_1000.projects.nitrc.org/indi/CoRR/html/index.html	A multi-site dataset aimed at assessing the reliability of functional connectivity measures.	earth	neuroimaging (MRI)	Test-Retest	https://doi.org/10.1038/sdata.2014.49	https://doi.org/10.1016/j.neuroimage.2019.116157	A decade of test-retest reliability of functional connectivity: A systematic review and meta-analysis	NA	http://dx.doi.org/10.1038/nrn.2016.167	Scanning the horizon: towards transparent and reproducible neuroimaging research 	NA	indi			1	1	0	1	0	0	0	0	0	0	ASL, CBF	
DENSE_F	28andMe	1	1	60	0	1	23	23	23	0	23	23	23	0	0	0	0	0	white	white	HC	https://openneuro.org/datasets/ds002674/versions/1.0.6	28andMe is a dense-sampling, multimodal neuroimaging study conducted by the Emily Jacobs Lab at UC Santa Barbara. It aimed to investigate how endogenous fluctuations in sex hormones across a complete menstrual cycle influence brain function and structure.	earth	neuroimaging (MRI)	Longitudinal	https://doi.org/10.1016/j.neuroimage.2020.117091	https://doi.org/10.1016/j.neubiorev.2023.105259	Insights from personalized models of brain and behavior for identifying biomarkers in psychiatry	NA	https://doi.org/10.1162/netn_a_00169	Dynamic community detection reveals transient reorganization of functional brain networks across a female menstrual cycle	NA	openNeuro			1	1	0	0	0	0	0	0	0	0		Single subject
DENSE_M	28andHe	1	1	40	1	0	26	26	26	0	26	26	26	0	0	0	0	0	White	white	HC	https://openneuro.org/datasets/ds005115/versions/1.2.0	28andHe is a complementary study to 28andMe, focusing on a male participant to explore diurnal hormone fluctuations and their impact on brain function. Conducted by the same research team, this study provides insights into how daily variations in hormones like testosterone affect neural dynamics.	earth	neuroimaging (MRI)	Longitudinal	https://doi.org/10.1523/JNEUROSCI.1856-23.2024	https://doi.org/10.1162/imag_a_00474	Exploring neuroendocrine influences on the sensorimotor-association axis in a female and a male individual	NA	https://doi.org/10.1523/JNEUROSCI.0573-24.2024	Circadian Rhythms Tied to Changes in Brain Morphology in a Densely Sampled Male	NA	openNeuro			1	1	0	0	0	0	0	0	0	0		
DLBS	Dallas Lifespan Brain Study	1	315	315	117	198	20.6	89.1	54.6	20.1	54.3	36.3	71.1	0	0	0	0	0	White/Caucasian	Non-hispanic	AD	https://fcon_1000.projects.nitrc.org/indi/retro/dlbs.html	A dataset focusing on cognitive aging, including MRI and behavioral data across the adult lifespan.​	earth	neuroimaging (MRI)	Longitudinal	https://fcon_1000.projects.nitrc.org/indi/retro/dlbs.html	https://doi.org/10.3389/fnagi.2016.00098	The Busier the Better: Greater Busyness Is Associated with Better Cognition	NA	https://doi.org/10.1002/alz.12062	Age-dependent amyloid deposition is associated with white matter alterations in cognitively normal adults during the adult life span	NA	indi			1	1	0	0	0	1	1	0	1	0	MMSE	
FCON1000	1000 Functional Connectomes Project	33	1277	1277	526	614	7.9	85	28.6	13.5	23	21	30	0	0	0	0	0			HC	http://fcon_1000.projects.nitrc.org/fcpClassic/FcpTable.html	An open-access collection of resting-state fMRI datasets from multiple sites to facilitate connectome studies.	earth	neuroimaging (MRI)	Cross-sectional	https://doi.org/10.1073/pnas.0911855107	https://doi.org/10.1371/journal.pone.0068910	BrainNet Viewer: A Network Visualization Tool for Human Brain Connectomics	Develop tools for the neuroscience community	https://doi.org/10.1152/jn.00338.2011	The Organization of the Human Cerebral Cortex Estimated by Functional Connectivity	NA	indi			1	1	0	0	0	0	0	0	0	0	NA	
HBN	Healthy Brain Network	3	3563	3563	2264	1226	5	22	10.2	3.4	9.5	7.6	12.1	0	0	0	0	0			HC	https://fcon_1000.projects.nitrc.org/indi/cmi_healthy_brain_network/MRI_EEG.html	A large-scale dataset collecting imaging and behavioral data from children and adolescents to study mental health and learning disorders.	earth	neuroimaging (MRI)	Cross-sectional	https://doi.org/10.1038/sdata.2017.181	https://doi.org/10.1038/s41467-024-46150-w	Data leakage inflates prediction performance in connectome-based machine learning models	NA	https://doi.org/10.1038/s41380-018-0321-0	Big data approaches to decomposing heterogeneity across the autism spectrum	NA	RBC			1	1	0	0	1	0	0	0	0	0		
HCP_1200	Human Connectome Project	1	1206	1206	550	656	23.5	33	28.8	3.5	28	28	33	0	0	0	0	0			HC	https://www.humanconnectome.org/study/hcp-young-adult	A comprehensive dataset with high-resolution MRI data from 1,200 healthy adults, aiming to map human brain connectivity.​	earth	neuroimaging (MRI)	Cross-sectional	https://doi.org/10.1016/j.neuroimage.2013.05.041	https://doi.org/10.1038/s41583-021-00474-4	The default mode network in cognition: a topographical perspective	NA	https://doi.org/10.1038/s41593-021-00962-x	A massive 7T fMRI dataset to bridge cognitive neuroscience and artificial intelligence	NA	connectomeDB			1	1	1	1	0	0	1	1	0	0	7T scans	
ICMB	International Consortium for Brain Mapping 	3	189	189	85	104	19	80	41.7	15.4	41	29	54	0	0	0	0	0	White	Not Hispanic or Latino	HC	https://ida.loni.usc.edu/collaboration/access/appLicense.jsp	A global collaborative effort aimed at developing a probabilistic, voxel-based atlas of the human brain. it provides standardized brain templates and tools to facilitate the comparison of functional and structural brain data across studies.	earth	neuroimaging (MRI)	Cross-sectional	https://doi.org/10.1098/rstb.2001.0915	https://doi.org/10.1371/journal.pcbi.1005350	Mindboggling morphometry of human brains	NA	https://doi.org/10.1126/science.abb4588	Julich-Brain: A 3D probabilistic atlas of the human brain’s cytoarchitecture	NA	IDA LONI			1	1	0	1	0	1	1	0	0	0		
ISYB	Imaging Chinese Young Brains	1	215	215	59	156	18	30	22.6	2.7	23	20	24	0	0	0	0	0	Chinese	Chinese Han	HC	https://doi.org/10.11922/sciencedb.00740	A publicly available neuroimaging resource comprising multimodal MRI data from 215 healthy, right-handed Chinese adults aged 18–30. 	earth	neuroimaging (MRI)	Cross-sectional	https://doi.org/10.1038/s41597-022-01413-3	https://doi.org/10.1016/j.dcn.2023.101244	Brief mock-scan training reduces head motion during real scanning for children: A growth curve study	NA	https://doi.org/10.1016/j.dcn.2024.101443	Psychiatric neuroimaging at a crossroads: Insights from psychiatric genetics	NA	ScienceDB			1	0	0	1	0	0	1	0	0	0	CBF	
IXI	Information eXtraction from Images	3	593	593	267	326	20	86.3	49.4	16.7	50.6	34	63.4	0	0	0	0	0		White	HC	https://brain-development.org/ixi-dataset/	A dataset comprising MRI scans from healthy subjects, used for developing and testing image processing algorithms.​	earth	neuroimaging (MRI)	Cross-sectional	https://brain-development.org/publication-list/	https://openaccess.thecvf.com/content/WACV2024/papers/Kim_Adaptive_Latent_Diffusion_Model_for_3D_Medical_Image_to_Image_WACV_2024_paper.pdf	Adaptive Latent Diffusion Model for 3D Medical Image to Image Translation: Multi-modal Magnetic Resonance Imaging Study	NA	https://openaccess.thecvf.com/content/CVPR2021/papers/Huang_Brain_Image_Synthesis_With_Unsupervised_Multivariate_Canonical_CSCl4Net_CVPR_2021_paper.pdf	Brain Image Synthesis with Unsupervised Multivariate Canonical CSCℓ4Net	NA	NA			1	0	0	1	0	0	1	0	0	0		
LASI	Longitudinal Aging Study in India Diagnostic Assessment of Dementia	1	148	149	80	62	0	85	66.3	11.3	67	63	72	78	129	4	4	0	Indian	Indian	AD	https://lasi-dad.org/	A study collecting health and social data from older adults in India; imaging data availability is limited.	earth	neuroimaging (MRI)	Longitudinal	http://dx. doi.org/10.1136/bmjopen- 2019-030300	https://doi.org/10.2196/27113	Learning From Clinical Consensus Diagnosis in India to Facilitate Automatic Classification of Dementia: Machine Learning Study	NA	https://doi.org/10.1101/2024.01.04.24300840	Effect of APOE ε4 and its modification by sociodemographic characteristics on cognitive measures in South Asians from LASI-DAD	NA	IDA LONI			1	1	0	0	0	0	1	1	1	0		
