DATASET	Abbreviation	Sites	SUBJECT	SCANS	MALES	FEMALES	MINAGE	MAXAGE	MEANAGE	STD	Median	Q25	Q75	CDR0_0	CDR0_5	CDR1_0	CDR2_0	CDR3_0	Race	Ethnicity	Pathology	LINK	Description	Population	Data	Design	Publication	Research_Article_1_Link	Research_Article_1_Title	Research_Article_1_Description	Research_Article_2_Link	Research_Article_2_Title	Research_Article_2_Description
CAMCAN	Cambridge Centre for Ageing Neuroscience	1	2681	2681	1173	1508	18.5	102.2	60.6	20.9	63.4	41.7	79.7	0	0	0	0	0			HC	https://camcan-archive.mrc-cbu.cam.ac.uk/dataaccess/index.php	A lifespan dataset with multimodal imaging and cognitive assessments from adults aged 18–88.	earth	neuroimaging (MRI)	Cross-sectional							
CC359	Calgary-Campinas-359	3	359	359	176	183	29	80	53.5	7.8	55	49	58.5	0	0	0	0	0			HC	https://www.ccdataset.com/download	A dataset comprising 359 T1-weighted MRI scans for evaluating brain segmentation algorithms.	earth	neuroimaging (MRI)	Cross-sectional							
CCNP	Chinese Color Nest Project	1	195	195	93	102	6.5	17.9	11.9	3.1	11.4	9.3	14.4	0	0	0	0	0	Asian	not Hispanic or Latino	HC	https://www.scidb.cn/en/detail?dataSetId=c81f0e90a51b4cfca348ce4da6ca734e	A developmental neuroimaging dataset focusing on brain maturation in children and adolescents.	earth	neuroimaging (MRI)	Cross-sectional	https://doi.org/10.1016/j.dcn.2021.101020						
CHBMP	Cuban Human Brain Mapping Project 	1	282	282	195	87	18	68	32	9.3	31	25	37	0	0	0	0	0		Cuban	HC	https://chbmp-open.loris.ca/	A population-based initiative focused on creating a normative brain dataset for the Cuban population. It includes high-resolution MRI, EEG, and neuropsychological assessments from healthy individuals, aiming to understand brain variability and support brain research and clinical neuroscience in Latin America.	earth	neuroimaging (MRI)	Cross-sectional	http://nature.com/articles/s41597-021-00829-7						
CHCP	Chinese Human Connectome Project	1	366	366	167	199	18	79	34	18.1	24	21	53.8	0	0	0	0	0	Asian	Chinese	HC	https://doi.org/10.11922/sciencedb.01374	A large-scale neuroimaging project modeled after the U.S. HCP, designed to map the structural and functional connectivity of the Chinese brain.	earth	multimodal MRI data, behavioral assessments, and demographics	Cross-sectional	https://www.nature.com/articles/s41593-022-01215-1						
COBRE	The Center for Biomedical Research Excellence	1	148	148	109	37	18	65	37	12.8	35	26	48	0	0	0	0	0			Shiz	https://fcon_1000.projects.nitrc.org/indi/retro/cobre.html	A dataset including structural and resting-state fMRI data from individuals with schizophrenia and healthy controls.​	earth	neuroimaging (MRI)	Cross-sectional							
CORR	Consortium for Reliability and Reproducibility	34	1534	4285	1288	1256	6	88	25.7	13.9	22	19	27	0	0	0	0	0			HC	https://fcon_1000.projects.nitrc.org/indi/CoRR/html/index.html	A multi-site dataset aimed at assessing the reliability of functional connectivity measures.	earth	neuroimaging (MRI)	Cross-sectional							
DENSE_F	28andMe	1	1	60	0	60	23	23	23	0	23	23	23	0	0	0	0	0	white	white	HC	https://openneuro.org/datasets/ds002674/versions/1.0.6	28andMe is a dense-sampling, multimodal neuroimaging study conducted by the Emily Jacobs Lab at UC Santa Barbara. It aimed to investigate how endogenous fluctuations in sex hormones across a complete menstrual cycle influence brain function and structure.	earth	neuroimaging (MRI)	Longitudinal	https://doi.org/10.1016/j.neuroimage.2020.117091						
DENSE_M	28andHe	1	1	40	40	0	26	26	26	0	26	26	26	0	0	0	0	0	White	white	HC	https://openneuro.org/datasets/ds005115/versions/1.2.0	28andHe is a complementary study to 28andMe, focusing on a male participant to explore diurnal hormone fluctuations and their impact on brain function. Conducted by the same research team, this study provides insights into how daily variations in hormones like testosterone affect neural dynamics.	earth	neuroimaging (MRI)	Longitudinal	https://doi.org/10.1523/JNEUROSCI.1856-23.2024						
DLBS	Dallas Lifespan Brain Study	1	315	315	117	198	20.6	89.1	54.6	20.1	54.3	36.3	71.1	0	0	0	0	0	White/Caucasian	Non-hispanic	AD	https://fcon_1000.projects.nitrc.org/indi/retro/dlbs.html	A dataset focusing on cognitive aging, including MRI and behavioral data across the adult lifespan.​	earth	neuroimaging (MRI)	Longitudinal							
FCON1000	1000 Functional Connectomes Project	33	1277	1277	529	615	7.9	85	28.6	13.5	23	21	30	0	0	0	0	0			HC	http://fcon_1000.projects.nitrc.org/fcpClassic/FcpTable.html	An open-access collection of resting-state fMRI datasets from multiple sites to facilitate connectome studies.	earth	neuroimaging (MRI)	Cross-sectional							
HBN	Healthy Brain Network	3	3563	3563	2264	1226	5	22	10.2	3.4	9.5	7.6	12.1	0	0	0	0	0			HC	https://fcon_1000.projects.nitrc.org/indi/cmi_healthy_brain_network/MRI_EEG.html	A large-scale dataset collecting imaging and behavioral data from children and adolescents to study mental health and learning disorders.	earth	neuroimaging (MRI)	Cross-sectional							
HCP_1200	Human Connectome Project	1	1206	1206	550	656	23.5	33	28.8	3.5	28	28	33	0	0	0	0	0			HC	https://www.humanconnectome.org/study/hcp-young-adult	A comprehensive dataset with high-resolution MRI data from 1,200 healthy adults, aiming to map human brain connectivity.​	earth	neuroimaging (MRI)	Cross-sectional							
ICMB	International Consortium for Brain Mapping 	3	189	189	85	104	19	80	41.7	15.4	41	29	54	0	0	0	0	0	White	Not Hispanic or Latino	HC	https://ida.loni.usc.edu/collaboration/access/appLicense.jsp	A global collaborative effort aimed at developing a probabilistic, voxel-based atlas of the human brain. it provides standardized brain templates and tools to facilitate the comparison of functional and structural brain data across studies.	earth	neuroimaging (MRI)	Cross-sectional	https://royalsocietypublishing.org/doi/10.1098/rstb.2001.0915						
ISYB	Imaging Chinese Young Brains	1	215	215	59	156	18	30	22.6	2.7	23	20	24	0	0	0	0	0	Chinese	Chinese Han	HC	https://doi.org/10.11922/sciencedb.00740	A publicly available neuroimaging resource comprising multimodal MRI data from 215 healthy, right-handed Chinese adults aged 18–30. 	earth	neuroimaging (MRI)	Cross-sectional							
IXI	Information eXtraction from Images	3	593	593	277	342	20	86.3	49.4	16.7	50.6	34	63.4	0	0	0	0	0		White	HC	https://brain-development.org/ixi-dataset/	A dataset comprising MRI scans from healthy subjects, used for developing and testing image processing algorithms.​	earth	neuroimaging (MRI)	Cross-sectional							
LASI	Longitudinal Aging Study in India Diagnostic Assessment of Dementia	1	148	149	235	201	0	85	66.3	11.3	67	63	72	78	129	4	4	0	Indian	Indian	AD	https://lasi-dad.org/	A study collecting health and social data from older adults in India; imaging data availability is limited.	earth	neuroimaging (MRI)	Longitudinal							
Lexical	A longitudinal neuroimaging dataset on multisensory lexical processing in school-aged children	1	188	376	198	178	7.4	16.4	11.2	1.9	11	9.7	12.6	0	0	0	0	0	White	Not Hispanic or Latino	HC	https://openneuro.org/datasets/ds001894/versions/1.4.2	Children dataset is an open-access neuroimaging resource designed to investigate how children process spoken and written language over time. It combines multimodal neuroimaging with behavioral assessments to explore the neural mechanisms underlying reading development in school-aged children.​	earth	neuroimaging (MRI)	Cross-sectional	https://www.nature.com/articles/s41597-019-0338-5						
MCSA	The Mayo Clinic Study of Aging	7	1802	3090	1729	1361	49	89.9	72.8	9.8	74.4	65.4	80.5	2606	402	34	2	1	White	Not Hispanic	AD	https://www.mayo.edu/research/centers-programs/alzheimers-disease-research-center/research-activities/mayo-clinic-study-aging/overview	A population-based study including imaging and clinical data to investigate aging and Alzheimer's disease.​	earth	neuroimaging (MRI)	Longitudinal							
MIRIAD	Minimal Interval Resonance Imaging in Alzheimer's Disease	1	69	708	315	393								0	0	0	0	0			AD	https://www.ucl.ac.uk/drc/research-clinical-trials/minimal-interval-resonance-imaging-alzheimers-disease-miriad	A dataset with longitudinal MRI scans of Alzheimer's patients and controls, used for evaluating brain atrophy.	earth	neuroimaging (MRI)	Longitudinal							
MPI	MPI-Leipzig Mind-Brain-Body	1	318	318	189	129	22.5	77.5	37.3	18.6	27.5	22.5	57.5	0	0	0	0	0			HC	https://openneuro.org/datasets/ds000221/versions/00002	This dataset aims to explore the interplay between brain structure, function, and emotional processing across the adult lifespan. It provides valuable insights into how these factors contribute to individual differences in emotional regulation and cognitive performance. 	earth	neuroimaging (MRI)	Cross-sectional	https://openneuro.org/datasets/ds000221/versions/00002						
NACC	Standardized Centralized Alzheimer’s & Related Dementias Neuroimaging	56	3179	3726	1504	2222	21	98	72.4	8.7	73	67	78	1938	981	185	51	6	White	Not Hispanic	AD	https://scan.naccdata.org/	A database aggregating clinical and imaging data from Alzheimer's Disease Centers across the U.S.​	earth	neuroimaging (MRI)	Longitudinal							
narratives		1	315	315	132	183	18	53	22	4.8	21	19	23	0	0	0	0	0			HC	https://doi.org/10.18112/openneuro.ds002345.v1.0.1	functional MRI data collected over seven years (2011–2018) while participants listened to naturalistic spoken stories. This dataset is well-suited for evaluating models of naturalistic language comprehension and serves as a benchmark for understanding how the brain processes complex auditory narratives. 	earth	neuroimaging (MRI)	Cross-sectional	https://doi.org/10.18112/openneuro.ds002345.v1.0.1						
NIFD	The Frontotemporal Lobar Degeneration Neuroimaging Initiative 	11	330	3730	2082	1648	36	90	65	8.1	65	59	71	849	846	634	446	43	White		AD	https://memory.ucsf.edu/research-trials/research/allftd	A dataset focusing on imaging biomarkers in frontotemporal dementia.	earth	neuroimaging (MRI)	Cross-sectional							
NKI	Enhanced Nathan Kline Institute - Rockland Sample	1	1340	2345	973	1380	6	85	36.2	22.7	36	14	57	0	0	0	0	0	White	Not Hispanic or Latino or Spanish	HC	https://fcon_1000.projects.nitrc.org/indi/enhanced/	Offers several datasets, including the Enhanced NKI-Rockland Sample, with multimodal imaging and behavioral data across the lifespan.​	earth	neuroimaging (MRI)	Longitudinal							
NPC	Neuroimaging predictors of creativity in healthy adults	1	66	66	29	36	20	35	26.6	4.3	25	23	30	0	0	0	0	0					This dataset investigates the neural correlates of creativity in healthy adults by assessing structural and functional brain features alongside performance on various creativity tasks.	earth	neuroimaging (MRI)	Cross-sectional	https://www.sciencedirect.com/science/article/pii/S1053811919308833						
OASIS1	Open Access Series of Imaging Studies 1	1	416	416	160	256	18	96	52.7	25.1	56	24	75	316	70	28	2	0			AD	https://sites.wustl.edu/oasisbrains/home/oasis-1/	Open Access Series of Imaging Studies providing MRI data across the adult lifespan, including individuals with Alzheimer's disease.	earth	neuroimaging (MRI)	Cross-sectional							
OASIS2	Open Access Series of Imaging Studies 2	1	150	373	160	213	60	98	77	7.6	77	71	82	206	123	41	3	0			AD	https://sites.wustl.edu/oasisbrains/home/oasis-2/	Open Access Series of Imaging Studies providing MRI data across the adult lifespan, including individuals with Alzheimer's disease.	earth	neuroimaging (MRI)	Longitudinal							
OASIS3	Open Access Series of Imaging Studies 3	1	1063	1088	490	598	43	97	70.4	8.7	71	66	76	813	275	0	0	0	White	Non-Hispanic	AD	https://sites.wustl.edu/oasisbrains/home/oasis-3/	Open Access Series of Imaging Studies providing MRI data across the adult lifespan, including individuals with Alzheimer's disease.	earth	neuroimaging (MRI)	Longitudinal							
Pixar	MRI data of 3-12 year old children and adults during viewing of a short animated film	1	155	155	71	84	3.5	39	10.6	8.1	7.7	5.3	11	0	0	0	0	0			HC	https://openneuro.org/datasets/ds000228/versions/1.1.1	MRI data from children (ages 3–12) and adults while viewing a silent version of Disney Pixar's animated short film "Partly Cloudy." The study aimed to investigate the development of the social brain by examining how different age groups process social and emotional cues during naturalistic movie viewing. This dataset provides insights into the neural mechanisms underlying social cognition and its development across the lifespan.	earth	neuroimaging (MRI)	Cross-sectional	https://www.nature.com/articles/s41467-018-03399-2.pdf						
PNC	Philadelphia neurodevelopmental cohort 	1	1601	1601	764	837	8.1	23.1	14.9	3.7	15.2	11.8	18	0	0	0	0	0		not Hispanic or Latino	HC	https://www.med.upenn.edu/bbl/philadelphianeurodevelopmentalcohort.html	A dataset with imaging and cognitive data from youths aged 8–21 to study brain development.	earth	neuroimaging (MRI)	Cross-sectional	https://doi.org/10.1016/j.neuroimage.2015.03.056						
PPMI	Parkinson's progression markers initiative	1	33	33	17	16	34	79	66.7	9.5	69	62	74	0	0	0	0	0			Parkinsons	https://www.ppmi-info.org/	A longitudinal study collecting imaging and clinical data to identify biomarkers of Parkinson's disease progression.	earth	neuroimaging (MRI)	Longitudinal							
preventAD	PResymptomatic EValuation of Experimental or Novel Treatments for Alzheimer's Disease	1	308	1375	0	0	55	88.2	64.6	5.4	63.6	61.1	67.5	0	0	0	0	0			AD		A longitudinal study focusing on cognitively healthy individuals over 55 with a family history of Alzheimer's disease. It collects multimodal MRI, cerebrospinal fluid biomarkers, genetic data, and cognitive assessments to identify early indicators of Alzheimer's disease progression. ​	earth	neuroimaging (MRI)	Longitudinal							
RBPL1	The Reading Brain Project L1 Adults	1	52	52	25	27	18	40	22.8	4.7	22	19	24.2	0	0	0	0	0			HC	https://blclab.org/reading-brain	This dataset includes neuroimaging and behavioral data from 52 native English-speaking adults. Participants underwent two sessions involving reading tasks, aiming to explore the neural mechanisms underlying reading in first-language (L1) adults.	earth	neuroimaging (MRI)	Cross-sectional							
RBPL2	The Reading Brain Project L2 Adults	1	52	52	25	27	18	40	22.8	4.7	22	19	24.2	0	0	0	0	0			HC	https://blclab.org/reading-brain	This dataset comprises data from 56 bilingual adults who are second-language (L2) English readers. It investigates how bilingualism and second-language acquisition influence the neural processes of reading.	earth	neuroimaging (MRI)	Cross-sectional							
SALD	Southwest University Adult Lifespan Dataset	1	494	494	185	307	19	80	45.2	17.4	48	25	59	0	0	0	0	0	Chinese	Chinese	HC	https://fcon_1000.projects.nitrc.org/indi/retro/sald.html	A cross-sectional dataset from Southwest University in China, encompassing structural and resting-state fMRI data from 494 healthy adults aged 19 to 80. It serves as a resource for studying brain aging and lifespan-related neural changes. ​	earth	neuroimaging (MRI)	Cross-sectional							
SLIM	Southwest University Longitudinal Imaging Multimodal	1	594	1048	469	579	17	28.4	20.7	1.4	20.6	20	21.5	0	0	0	0	0			HC	https://fcon_1000.projects.nitrc.org/indi/retro/southwestuni_qiu_index.html	A longitudinal dataset featuring multimodal MRI (structural, diffusion, and resting-state fMRI) and behavioral assessments collected over three and a half years. It includes repeated measures from healthy young adults, facilitating research on brain development and test-retest reliability.	earth	neuroimaging (MRI)	Test-Retest							
SRPBS	Japanese Strategic Research Program for the Promotion of Brain Science	11	1410	1410	808	602	16	80	38.4	13.6	37	27	47	0	0	0	0	0	Asian	Asian	Multiple	https://bicr-resource.atr.jp/srpbsopen/	A Japanese nationwide initiative providing a multi-site, multi-disorder MRI dataset. It includes resting-state fMRI and structural MRI data from 993 patients across various psychiatric disorders and 1,421 healthy controls, supporting research into brain network markers and cross-site harmonization. ​	earth	neuroimaging (MRI)	Cross-sectional							
YALE_HighRes	Yale High-Resolution Controls	1	120	120	68	52	18	58	28.8	8.5	27	23	32	0	0	0	0	0			HC	https://fcon_1000.projects.nitrc.org/indi/retro/yale_hires.html	A dataset comprising high-resolution structural MRI scans from healthy control participants. It is utilized for studies requiring detailed anatomical brain imaging and serves as a control group in various neuroimaging analyses. ​	earth	neuroimaging (MRI)	Cross-sectional							
YALE_LowRes	Yale Low-Resolution Controls	1	100	100	50	50	18	66	34.3	11.3	32	25	42	0	0	0	0	0			HC	https://fcon_1000.projects.nitrc.org/indi/retro/yale_lowres.html	This dataset includes low-resolution resting-state fMRI data from 100 healthy individuals. It is designed for assessing the intrinsic organization of the human brain at rest and is suitable for studies focusing on functional connectivity.	earth	neuroimaging (MRI)	Cross-sectional							
