DATASET	Abbreviation	Sites	SUBJECT	SCANS	MALES	FEMALES	MINAGE	MAXAGE	MEANAGE	STD	Median	Q25	Q75	CDR0_0	CDR0_5	CDR1_0	CDR2_0	CDR3_0	Race	Ethnicity	Pathology	LINK	Description	Population	Data	Design	Publication	Research_Article_1_Link	Research_Article_1_Title	Research_Article_1_Description	Research_Article_2_Link	Research_Article_2_Title	Research_Article_2_Description	Platform	Tip1	Tip2	anat	rs-fMRI	t-fMRI	dwi	eeg	pet	cognitive	behavioural	genetics	fluid_biomarkers	Others	Drawback
CAMCAN	Cambridge Centre for Ageing Neuroscience	1	2681	2681	1173	1508	18.5	102.2	60.6	20.9	63.4	41.7	79.7	0	0	0	0	0			HC	https://camcan-archive.mrc-cbu.cam.ac.uk/dataaccess/index.php	A lifespan dataset with multimodal imaging and cognitive assessments from adults aged 18–88.	earth	neuroimaging (MRI)	Cross-sectional	https://doi.org/10.1016/j.neuroimage.2015.09.018	https://doi.org/10.1038/s41593-023-01299-3	Functional brain networks reflect spatial and temporal autocorrelation	This study demonstrates that spatial (SA) and temporal autocorrelation (TA) in resting-state fMRI (rs-fMRI) data fundamentally explain the topology of functional brain networks, offering a reductionist framework to link complex network metrics to simpler neurobiological mechanisms	https://doi.org/10.1073/pnas.2214634120	Anatomically interpretable deep learning of brain age captures domain-specific cognitive impairment		NA	Apply for data access thorugh the website	Use Filezilla to get to know the file structure and downlod required files	1	1	1	1	0	0	1	1	0	0	MMSE, MEG, CArdiovascular measures, Benton, Cardiovascular measures, Cattell, Emotional expression recogn., Emotional memory, Emotion regulation, Famous faces, Force matching, Hotel task, Motor learning, Picture priming, Proverbs, RT choice, RT simple, Synsem, TOT, VSTM colour	Takes a couple of days to get the approval and stlughty hard to download the data; not comparible with linux machines or servers; even though there is a way
CC359	Calgary-Campinas-359	3	359	359	176	183	29	80	53.5	7.8	55	49	58.5	0	0	0	0	0			HC	https://www.ccdataset.com/download	A dataset comprising 359 T1-weighted MRI scans for evaluating brain segmentation algorithms.	earth	neuroimaging (MRI)	Cross-sectional	https://doi.org/10.1016/j.neuroimage.2017.08.021	https://openaccess.thecvf.com/content/CVPR2022/papers/Yiasemis_Recurrent_Variational_Network_A_Deep_Learning_Inverse_Problem_Solver_Applied_CVPR_2022_paper.pdf	Recurrent Variational Network: A Deep Learning Inverse Problem Solver applied to the task of Accelerated MRI Reconstruction	Conventional MRI acquisition is slow and prone to motion artifacts, limiting dynamic treatments. A novel deep learning method, RecurrentVarNet, reconstructs high-fidelity MRI images from highly accelerated, subsampled data by iteratively refining k-space using recurrent neural networks, achieving state-of-the-art results on brain data.	https://doi.org/10.1109/JPROC.2022.3141367	AI-Based Reconstruction for Fast MRI—A Systematic Review and Meta-Analysis	Deep learning and compressed sensing are increasingly combined to accelerate MRI acquisition, leading to significant advancements. This meta-analysis reviews these deep-learning-based CS techniques, their designs, breakthroughs, and future directions, while also providing a framework for their assessment in fast MRI.	CONP	the nifti images are in processed orginal.zip	You can treat 3 vendors are 3 different sites	1	0	0	0	0	0	0	0	0	0	1.5T, 3T	Too much raw data was given i really found it difficult to find the original nifit images
CCNP	Chinese Color Nest Project	1	195	195	93	102	6.5	17.9	11.9	3.1	11.4	9.3	14.4	0	0	0	0	0	Asian	not Hispanic or Latino	HC	https://www.scidb.cn/en/detail?dataSetId=c81f0e90a51b4cfca348ce4da6ca734e	A developmental neuroimaging dataset focusing on brain maturation in children and adolescents.	earth	neuroimaging (MRI)	Cross-sectional	https://doi.org/10.1016/j.dcn.2021.101020							RBC			1											
CHBMP	Cuban Human Brain Mapping Project 	1	282	282	195	87	18	68	32	9.3	31	25	37	0	0	0	0	0		Cuban	HC	https://chbmp-open.loris.ca/	A population-based initiative focused on creating a normative brain dataset for the Cuban population. It includes high-resolution MRI, EEG, and neuropsychological assessments from healthy individuals, aiming to understand brain variability and support brain research and clinical neuroscience in Latin America.	earth	neuroimaging (MRI)	Cross-sectional	http://nature.com/articles/s41597-021-00829-7							CONIS			1											
CHCP	Chinese Human Connectome Project	1	366	366	167	199	18	79	34	18.1	24	21	53.8	0	0	0	0	0	Asian	Chinese	HC	https://doi.org/10.11922/sciencedb.01374	A large-scale neuroimaging project modeled after the U.S. HCP, designed to map the structural and functional connectivity of the Chinese brain.	earth	neuroimaging (MRI)	Cross-sectional	https://www.nature.com/articles/s41593-022-01215-1							ScienceDB			1											
COBRE	The Center for Biomedical Research Excellence	1	148	148	109	37	18	65	37	12.8	35	26	48	0	0	0	0	0			Shiz	https://fcon_1000.projects.nitrc.org/indi/retro/cobre.html	A dataset including structural and resting-state fMRI data from individuals with schizophrenia and healthy controls.​	earth	neuroimaging (MRI)	Cross-sectional								indi			1											
CORR	Consortium for Reliability and Reproducibility	34	1534	4285	764	768	6	88	25.7	13.9	22	19	27	0	0	0	0	0			HC	https://fcon_1000.projects.nitrc.org/indi/CoRR/html/index.html	A multi-site dataset aimed at assessing the reliability of functional connectivity measures.	earth	neuroimaging (MRI)	Cross-sectional								indi			1											
DENSE_F	28andMe	1	1	60	0	1	23	23	23	0	23	23	23	0	0	0	0	0	white	white	HC	https://openneuro.org/datasets/ds002674/versions/1.0.6	28andMe is a dense-sampling, multimodal neuroimaging study conducted by the Emily Jacobs Lab at UC Santa Barbara. It aimed to investigate how endogenous fluctuations in sex hormones across a complete menstrual cycle influence brain function and structure.	earth	neuroimaging (MRI)	Longitudinal	https://doi.org/10.1016/j.neuroimage.2020.117091							openNeuro			1											
DENSE_M	28andHe	1	1	40	1	0	26	26	26	0	26	26	26	0	0	0	0	0	White	white	HC	https://openneuro.org/datasets/ds005115/versions/1.2.0	28andHe is a complementary study to 28andMe, focusing on a male participant to explore diurnal hormone fluctuations and their impact on brain function. Conducted by the same research team, this study provides insights into how daily variations in hormones like testosterone affect neural dynamics.	earth	neuroimaging (MRI)	Longitudinal	https://doi.org/10.1523/JNEUROSCI.1856-23.2024							openNeuro			1											
DLBS	Dallas Lifespan Brain Study	1	315	315	117	198	20.6	89.1	54.6	20.1	54.3	36.3	71.1	0	0	0	0	0	White/Caucasian	Non-hispanic	AD	https://fcon_1000.projects.nitrc.org/indi/retro/dlbs.html	A dataset focusing on cognitive aging, including MRI and behavioral data across the adult lifespan.​	earth	neuroimaging (MRI)	Longitudinal								indi			1											
FCON1000	1000 Functional Connectomes Project	33	1277	1277	526	614	7.9	85	28.6	13.5	23	21	30	0	0	0	0	0			HC	http://fcon_1000.projects.nitrc.org/fcpClassic/FcpTable.html	An open-access collection of resting-state fMRI datasets from multiple sites to facilitate connectome studies.	earth	neuroimaging (MRI)	Cross-sectional								indi			1											
HBN	Healthy Brain Network	3	3563	3563	2264	1226	5	22	10.2	3.4	9.5	7.6	12.1	0	0	0	0	0			HC	https://fcon_1000.projects.nitrc.org/indi/cmi_healthy_brain_network/MRI_EEG.html	A large-scale dataset collecting imaging and behavioral data from children and adolescents to study mental health and learning disorders.	earth	neuroimaging (MRI)	Cross-sectional								RBC			1											
HCP_1200	Human Connectome Project	1	1206	1206	550	656	23.5	33	28.8	3.5	28	28	33	0	0	0	0	0			HC	https://www.humanconnectome.org/study/hcp-young-adult	A comprehensive dataset with high-resolution MRI data from 1,200 healthy adults, aiming to map human brain connectivity.​	earth	neuroimaging (MRI)	Cross-sectional								connectomeDB			1											
ICMB	International Consortium for Brain Mapping 	3	189	189	85	104	19	80	41.7	15.4	41	29	54	0	0	0	0	0	White	Not Hispanic or Latino	HC	https://ida.loni.usc.edu/collaboration/access/appLicense.jsp	A global collaborative effort aimed at developing a probabilistic, voxel-based atlas of the human brain. it provides standardized brain templates and tools to facilitate the comparison of functional and structural brain data across studies.	earth	neuroimaging (MRI)	Cross-sectional	https://royalsocietypublishing.org/doi/10.1098/rstb.2001.0915							IDA LONI			1											
ISYB	Imaging Chinese Young Brains	1	215	215	59	156	18	30	22.6	2.7	23	20	24	0	0	0	0	0	Chinese	Chinese Han	HC	https://doi.org/10.11922/sciencedb.00740	A publicly available neuroimaging resource comprising multimodal MRI data from 215 healthy, right-handed Chinese adults aged 18–30. 	earth	neuroimaging (MRI)	Cross-sectional								ScienceDB			1											
IXI	Information eXtraction from Images	3	593	593	267	326	20	86.3	49.4	16.7	50.6	34	63.4	0	0	0	0	0		White	HC	https://brain-development.org/ixi-dataset/	A dataset comprising MRI scans from healthy subjects, used for developing and testing image processing algorithms.​	earth	neuroimaging (MRI)	Cross-sectional								NA			1											
LASI	Longitudinal Aging Study in India Diagnostic Assessment of Dementia	1	148	149	80	62	0	85	66.3	11.3	67	63	72	78	129	4	4	0	Indian	Indian	AD	https://lasi-dad.org/	A study collecting health and social data from older adults in India; imaging data availability is limited.	earth	neuroimaging (MRI)	Longitudinal								IDA LONI			1											
Lexical	A longitudinal neuroimaging dataset on multisensory lexical processing in school-aged children	1	188	376	99	89	7.4	16.4	11.2	1.9	11	9.7	12.6	0	0	0	0	0	White	Not Hispanic or Latino	HC	https://openneuro.org/datasets/ds001894/versions/1.4.2	Children dataset is an open-access neuroimaging resource designed to investigate how children process spoken and written language over time. It combines multimodal neuroimaging with behavioral assessments to explore the neural mechanisms underlying reading development in school-aged children.​	earth	neuroimaging (MRI)	Cross-sectional	https://www.nature.com/articles/s41597-019-0338-5							openNeuro			1											
MCSA	The Mayo Clinic Study of Aging	7	1802	3090	968	834	49	89.9	72.8	9.8	74.4	65.4	80.5	2606	402	34	2	1	White	Not Hispanic	AD	https://www.mayo.edu/research/centers-programs/alzheimers-disease-research-center/research-activities/mayo-clinic-study-aging/overview	A population-based study including imaging and clinical data to investigate aging and Alzheimer's disease.​	earth	neuroimaging (MRI)	Longitudinal								IDA LONI			1											
MIRIAD	Minimal Interval Resonance Imaging in Alzheimer's Disease	1	69	708	31	38								0	0	0	0	0			AD	https://www.ucl.ac.uk/drc/research-clinical-trials/minimal-interval-resonance-imaging-alzheimers-disease-miriad	A dataset with longitudinal MRI scans of Alzheimer's patients and controls, used for evaluating brain atrophy.	earth	neuroimaging (MRI)	Longitudinal								NA			1											
MPI	MPI-Leipzig Mind-Brain-Body	1	5	5	189	129	27.5	67.5	57.5	17.3	67.5	57.5	67.5	0	0	0	0	0			HC	https://openneuro.org/datasets/ds000221/versions/00002	This dataset aims to explore the interplay between brain structure, function, and emotional processing across the adult lifespan. It provides valuable insights into how these factors contribute to individual differences in emotional regulation and cognitive performance. 	earth	neuroimaging (MRI)	Cross-sectional	https://openneuro.org/datasets/ds000221/versions/00002							openNeuro			1											
NACC	Standardized Centralized Alzheimer’s & Related Dementias Neuroimaging	56	3179	3726	1272	1907	21	98	72.4	8.7	73	67	78	1938	981	185	51	6	White	Not Hispanic	AD	https://scan.naccdata.org/	A database aggregating clinical and imaging data from Alzheimer's Disease Centers across the U.S.​	earth	neuroimaging (MRI)	Longitudinal								IDA LONI			1											
narratives		1	315	315	132	183	18	53	22	4.8	21	19	23	0	0	0	0	0			HC	https://snastase.github.io/datasets/ds002345	functional MRI data collected over seven years (2011–2018) while participants listened to naturalistic spoken stories. This dataset is well-suited for evaluating models of naturalistic language comprehension and serves as a benchmark for understanding how the brain processes complex auditory narratives. 	earth	neuroimaging (MRI)	Cross-sectional	https://doi.org/10.18112/openneuro.ds002345.v1.0.1							openNeuro			1											
NIFD	The Frontotemporal Lobar Degeneration Neuroimaging Initiative 	11	330	3730	180	150	36	90	65	8.1	65	59	71	849	846	634	446	43	White		AD	https://memory.ucsf.edu/research-trials/research/allftd	A dataset focusing on imaging biomarkers in frontotemporal dementia.	earth	neuroimaging (MRI)	Cross-sectional								IDA LONI			1											
NKI	Enhanced Nathan Kline Institute - Rockland Sample	1	1340	2345	532	808	6	85	36.2	22.7	36	14	57	0	0	0	0	0	White	Not Hispanic or Latino or Spanish	HC	https://fcon_1000.projects.nitrc.org/indi/enhanced/	Offers several datasets, including the Enhanced NKI-Rockland Sample, with multimodal imaging and behavioral data across the lifespan.​	earth	neuroimaging (MRI)	Longitudinal								indi			1											
NPC	Neuroimaging predictors of creativity in healthy adults	1	66	66	29	36	20	35	26.6	4.3	25	23	30	0	0	0	0	0					This dataset investigates the neural correlates of creativity in healthy adults by assessing structural and functional brain features alongside performance on various creativity tasks.	earth	neuroimaging (MRI)	Cross-sectional	https://www.sciencedirect.com/science/article/pii/S1053811919308833							openNeuro			1											
OASIS1	Open Access Series of Imaging Studies 1	1	416	416	160	256	18	96	52.7	25.1	56	24	75	316	70	28	2	0			AD	https://sites.wustl.edu/oasisbrains/home/oasis-1/	Open Access Series of Imaging Studies providing MRI data across the adult lifespan, including individuals with Alzheimer's disease.	earth	neuroimaging (MRI)	Cross-sectional								oasis			1											
OASIS2	Open Access Series of Imaging Studies 2	1	150	373	62	88	60	98	77	7.6	77	71	82	206	123	41	3	0			AD	https://sites.wustl.edu/oasisbrains/home/oasis-2/	Open Access Series of Imaging Studies providing MRI data across the adult lifespan, including individuals with Alzheimer's disease.	earth	neuroimaging (MRI)	Longitudinal								oasis			1											
OASIS3	Open Access Series of Imaging Studies 3	1	1063	1088	478	585	43	97	70.4	8.7	71	66	76	813	275	0	0	0	White	Non-Hispanic	AD	https://sites.wustl.edu/oasisbrains/home/oasis-3/	Open Access Series of Imaging Studies providing MRI data across the adult lifespan, including individuals with Alzheimer's disease.	earth	neuroimaging (MRI)	Longitudinal								oasis			1											
Pixar	MRI data of 3-12 year old children and adults during viewing of a short animated film	1	155	155	71	84	3.5	39	10.6	8.1	7.7	5.3	11	0	0	0	0	0			HC	https://openneuro.org/datasets/ds000228/versions/1.1.1	MRI data from children (ages 3–12) and adults while viewing a silent version of Disney Pixar's animated short film "Partly Cloudy." The study aimed to investigate the development of the social brain by examining how different age groups process social and emotional cues during naturalistic movie viewing. This dataset provides insights into the neural mechanisms underlying social cognition and its development across the lifespan.	earth	neuroimaging (MRI)	Cross-sectional	https://www.nature.com/articles/s41467-018-03399-2.pdf							openNeuro			1											
